Designator,Mid X,Mid Y,Rotation,Layer
C1,97.269,-88.1544,-75.0,top
C2,90.219,-92.8044,-38.0,top
C3,104.019,-98.4794,0.0,bottom
C4,97.494,-96.3044,90.0,bottom
CHR1,91.494,-108.5044,45.0,top
CR02032,100.044,-99.8044,0.0,top
J0,101.244,-94.0794,-90.0,bottom
L1,100.044,-100.0044,180.0,bottom
POW1,108.719,-108.3044,-45.0,top
R1,107.594,-90.4544,50.0,top
R2,109.444,-92.3544,38.0,top
R3,87.994,-103.5794,180.0,top
U1,104.144,-88.8544,-20.0,top
U2,100.019,-96.3044,180.0,bottom
U3,108.594,-99.6794,0.0,bottom
USBC1,90.219,-94.4294,60.0,bottom
